order_item_id,order_id,product_id,quantity,unit_price,discount_pct,customer_id,order_date,order_status,sales_channel,customer_name,email,city,state,signup_date,customer_segment,product_name,category,brand,cost_price,list_price,gross,discount,net,cost,profit,margin_pct
20016,10016,6,1,2505,0,16,2026-08-22,Placed,Web,Customer 16,customer16@example.com,Mumbai,Maharashtra,2026-08-22,Premium,Product 6,Electronics,Aster,402.0,566.82,2505,0.0,2505.0,402.0,2103.0,83.95
20017,10017,13,2,2642,5,17,2026-01-27,Paid,Mobile,Customer 17,customer17@example.com,Pune,Maharashtra,2026-01-25,Corporate,Product 13,Sports,Cobalt,661.0,879.13,5284,264.2,5019.8,1322.0,3697.8,73.66
20018,10018,20,3,2779,10,18,2026-02-05,Shipped,Store,Customer 18,customer18@example.com,Kochi,Kerala,2026-02-01,Standard,Product 20,Fashion,Evergreen,920.0,1150.0,8337,833.7,7503.3,2760.0,4743.3,63.22
20019,10019,27,4,2916,15,19,2026-03-10,Delivered,Web,Customer 19,customer19@example.com,Chennai,Tamil Nadu,2026-03-04,Premium,Product 27,Home,BluePeak,1179.0,1756.71,11664,1749.6,9914.4,4716.0,5198.4,52.43
20021,10021,41,1,3190,0,21,2026-05-20,Placed,Store,Customer 21,customer21@example.com,Hyderabad,Telangana,2026-05-10,Standard,Product 41,Electronics,Aster,1697.0,2257.01,3190,0.0,3190.0,1697.0,1493.0,46.8
20022,10022,48,2,3327,5,22,2026-06-25,Paid,Web,Customer 22,customer22@example.com,Mumbai,Maharashtra,2026-06-13,Premium,Product 48,Sports,Cobalt,1956.0,2445.0,6654,332.70000000000005,6321.3,3912.0,2409.3,38.11
20023,10023,5,3,3464,10,23,2026-07-03,Shipped,Mobile,Customer 23,customer23@example.com,Pune,Maharashtra,2026-07-16,Corporate,Product 5,Fashion,Evergreen,365.0,485.45,10392,1039.2,9352.8,1095.0,8257.8,88.29
20024,10024,12,4,3601,15,24,2026-08-08,Delivered,Store,Customer 24,customer24@example.com,Kochi,Kerala,2026-08-19,Standard,Product 12,Home,BluePeak,624.0,780.0,14404,2160.6,12243.4,2496.0,9747.4,79.61
20026,10026,26,1,3875,0,26,2026-02-18,Placed,Mobile,Customer 26,customer26@example.com,Bengaluru,Karnataka,2026-02-25,Corporate,Product 26,Electronics,Aster,1142.0,1610.22,3875,0.0,3875.0,1142.0,2733.0,70.53
20027,10027,33,2,4012,5,27,2026-03-23,Paid,Store,Customer 27,customer27@example.com,Hyderabad,Telangana,2026-03-01,Standard,Product 33,Sports,Cobalt,1401.0,1863.33,8024,401.20000000000005,7622.8,2802.0,4820.8,63.24
20028,10028,40,3,4149,10,28,2026-04-01,Shipped,Web,Customer 28,customer28@example.com,Mumbai,Maharashtra,2026-04-04,Premium,Product 40,Fashion,Evergreen,1660.0,2075.0,12447,1244.7,11202.3,4980.0,6222.299999999999,55.54
20029,10029,47,4,4286,15,29,2026-05-06,Delivered,Mobile,Customer 29,customer29@example.com,Pune,Maharashtra,2026-05-07,Corporate,Product 47,Home,BluePeak,1919.0,2859.31,17144,2571.6,14572.4,7676.0,6896.4,47.33
20031,10031,11,1,4560,0,31,2026-07-16,Placed,Web,Customer 31,customer31@example.com,Chennai,Tamil Nadu,2026-07-13,Premium,Product 11,Electronics,Aster,587.0,874.63,4560,0.0,4560.0,587.0,3973.0,87.13
20032,10032,18,2,4697,5,32,2026-08-21,Paid,Mobile,Customer 32,customer32@example.com,Bengaluru,Karnataka,2026-08-16,Corporate,Product 18,Sports,Cobalt,846.0,1192.86,9394,469.70000000000005,8924.3,1692.0,7232.299999999999,81.04
20033,10033,25,3,4834,10,33,2026-01-26,Shipped,Store,Customer 33,customer33@example.com,Hyderabad,Telangana,2026-01-19,Standard,Product 25,Fashion,Evergreen,1105.0,1469.65,14502,1450.2,13051.8,3315.0,9736.8,74.6
20034,10034,32,4,4971,15,34,2026-02-04,Delivered,Web,Customer 34,customer34@example.com,Mumbai,Maharashtra,2026-02-22,Premium,Product 32,Home,BluePeak,1364.0,1705.0,19884,2982.6,16901.4,5456.0,11445.400000000001,67.72
20036,10036,46,1,5245,0,36,2026-04-14,Placed,Store,Customer 36,customer36@example.com,Kochi,Kerala,2026-04-01,Standard,Product 46,Electronics,Aster,1882.0,2653.62,5245,0.0,5245.0,1882.0,3363.0,64.12
20037,10037,3,2,5382,5,37,2026-05-19,Paid,Web,Customer 37,customer37@example.com,Chennai,Tamil Nadu,2026-05-04,Premium,Product 3,Sports,Cobalt,291.0,433.59,10764,538.2,10225.8,582.0,9643.8,94.31
20038,10038,10,3,5519,10,38,2026-06-24,Shipped,Mobile,Customer 38,customer38@example.com,Bengaluru,Karnataka,2026-06-07,Corporate,Product 10,Fashion,Evergreen,550.0,775.5,16557,1655.7,14901.3,1650.0,13251.3,88.93
20039,10039,17,4,5656,15,39,2026-07-02,Delivered,Store,Customer 39,customer39@example.com,Hyderabad,Telangana,2026-07-10,Standard,Product 17,Home,BluePeak,809.0,1075.97,22624,3393.6,19230.4,3236.0,15994.400000000001,83.17
20041,10041,31,1,5930,0,41,2026-01-12,Placed,Mobile,Customer 41,customer41@example.com,Pune,Maharashtra,2026-01-16,Corporate,Product 31,Electronics,Aster,1327.0,1977.23,5930,0.0,5930.0,1327.0,4603.0,77.62
20042,10042,38,2,6067,5,42,2026-02-17,Paid,Store,Customer 42,customer42@example.com,Kochi,Kerala,2026-02-19,Standard,Product 38,Sports,Cobalt,1586.0,2236.26,12134,606.7,11527.3,3172.0,8355.3,72.48
20043,10043,45,3,6204,10,43,2026-03-22,Shipped,Web,Customer 43,customer43@example.com,Chennai,Tamil Nadu,2026-03-22,Premium,Product 45,Fashion,Evergreen,1845.0,2453.85,18612,1861.2,16750.8,5535.0,11215.8,66.96
20044,10044,2,4,6341,15,44,2026-04-27,Delivered,Mobile,Customer 44,customer44@example.com,Bengaluru,Karnataka,2026-04-25,Corporate,Product 2,Home,BluePeak,254.0,358.14,25364,3804.6,21559.4,1016.0,20543.4,95.29
20046,10046,16,1,6615,0,46,2026-06-10,Placed,Web,Customer 46,customer46@example.com,Mumbai,Maharashtra,2026-06-04,Premium,Product 16,Electronics,Aster,772.0,965.0,6615,0.0,6615.0,772.0,5843.0,88.33
20047,10047,23,2,552,5,47,2026-07-15,Paid,Mobile,Customer 47,customer47@example.com,Pune,Maharashtra,2026-07-07,Corporate,Product 23,Sports,Cobalt,1031.0,1536.19,1104,55.2,1048.8,2062.0,-1013.2,-96.61
20048,10048,30,3,689,10,48,2026-08-20,Shipped,Store,Customer 48,customer48@example.com,Kochi,Kerala,2026-08-10,Standard,Product 30,Fashion,Evergreen,1290.0,1818.9,2067,206.70000000000002,1860.3,3870.0,-2009.7,-108.03
20049,10049,37,4,826,15,49,2026-01-25,Delivered,Web,Customer 49,customer49@example.com,Chennai,Tamil Nadu,2026-01-13,Premium,Product 37,Home,BluePeak,1549.0,2060.17,3304,495.59999999999997,2808.4,6196.0,-3387.6,-120.62
20051,10051,1,1,1100,0,51,2026-03-08,Placed,Store,Customer 51,customer51@example.com,Hyderabad,Telangana,2026-03-19,Standard,Product 1,Electronics,Aster,217.0,288.61,1100,0.0,1100.0,217.0,883.0,80.27
20052,10052,8,2,1237,5,52,2026-04-13,Paid,Web,Customer 52,customer52@example.com,Mumbai,Maharashtra,2026-04-22,Premium,Product 8,Sports,Cobalt,476.0,595.0,2474,123.7,2350.3,952.0,1398.3000000000002,59.49
20053,10053,15,3,1374,10,53,2026-05-18,Shipped,Mobile,Customer 53,customer53@example.com,Pune,Maharashtra,2026-05-25,Corporate,Product 15,Fashion,Evergreen,735.0,1095.15,4122,412.20000000000005,3709.8,2205.0,1504.8000000000002,40.56
20054,10054,22,4,1511,15,54,2026-06-23,Delivered,Store,Customer 54,customer54@example.com,Kochi,Kerala,2026-06-01,Standard,Product 22,Home,BluePeak,994.0,1401.54,6044,906.6,5137.4,3976.0,1161.3999999999996,22.61
20056,10056,36,1,1785,0,56,2026-08-06,Placed,Mobile,Customer 56,customer56@example.com,Bengaluru,Karnataka,2026-08-07,Corporate,Product 36,Electronics,Aster,1512.0,1890.0,1785,0.0,1785.0,1512.0,273.0,15.29
20057,10057,43,2,1922,5,57,2026-01-11,Paid,Store,Customer 57,customer57@example.com,Hyderabad,Telangana,2026-01-10,Standard,Product 43,Sports,Cobalt,1771.0,2638.79,3844,192.20000000000002,3651.8,3542.0,109.80000000000018,3.01
20058,10058,50,3,2059,10,58,2026-02-16,Shipped,Web,Customer 58,customer58@example.com,Mumbai,Maharashtra,2026-02-13,Premium,Product 50,Fashion,Evergreen,2030.0,2862.3,6177,617.7,5559.3,6090.0,-530.6999999999998,-9.55
20059,10059,7,4,2196,15,59,2026-03-21,Delivered,Mobile,Customer 59,customer59@example.com,Pune,Maharashtra,2026-03-16,Corporate,Product 7,Home,BluePeak,439.0,654.11,8784,1317.6,7466.4,1756.0,5710.4,76.48
20061,10061,21,1,2470,0,61,2026-05-04,Placed,Web,Customer 61,customer61@example.com,Chennai,Tamil Nadu,2026-05-22,Premium,Product 21,Electronics,Aster,957.0,1272.81,2470,0.0,2470.0,957.0,1513.0,61.26
20062,10062,28,2,2607,5,62,2026-06-09,Paid,Mobile,Customer 62,customer62@example.com,Bengaluru,Karnataka,2026-06-25,Corporate,Product 28,Sports,Cobalt,1216.0,1520.0,5214,260.7,4953.3,2432.0,2521.3,50.9
20063,10063,35,3,2744,10,63,2026-07-14,Shipped,Store,Customer 63,customer63@example.com,Hyderabad,Telangana,2026-07-01,Standard,Product 35,Fashion,Evergreen,1475.0,2197.75,8232,823.2,7408.8,4425.0,2983.8,40.27
20064,10064,42,4,2881,15,64,2026-08-19,Delivered,Web,Customer 64,customer64@example.com,Mumbai,Maharashtra,2026-08-04,Premium,Product 42,Home,BluePeak,1734.0,2444.94,11524,1728.6,9795.4,6936.0,2859.3999999999996,29.19
20066,10066,6,1,3155,0,66,2026-02-02,Placed,Store,Customer 66,customer66@example.com,Kochi,Kerala,2026-02-10,Standard,Product 6,Electronics,Aster,402.0,566.82,3155,0.0,3155.0,402.0,2753.0,87.26
20067,10067,13,2,3292,5,67,2026-03-07,Paid,Web,Customer 67,customer67@example.com,Chennai,Tamil Nadu,2026-03-13,Premium,Product 13,Sports,Cobalt,661.0,879.13,6584,329.20000000000005,6254.8,1322.0,4932.8,78.86
20068,10068,20,3,3429,10,68,2026-04-12,Shipped,Mobile,Customer 68,customer68@example.com,Bengaluru,Karnataka,2026-04-16,Corporate,Product 20,Fashion,Evergreen,920.0,1150.0,10287,1028.7,9258.3,2760.0,6498.299999999999,70.19
20069,10069,27,4,3566,15,69,2026-05-17,Delivered,Store,Customer 69,customer69@example.com,Hyderabad,Telangana,2026-05-19,Standard,Product 27,Home,BluePeak,1179.0,1756.71,14264,2139.6,12124.4,4716.0,7408.4,61.1
20071,10071,41,1,3840,0,71,2026-07-27,Placed,Mobile,Customer 71,customer71@example.com,Pune,Maharashtra,2026-07-25,Corporate,Product 41,Electronics,Aster,1697.0,2257.01,3840,0.0,3840.0,1697.0,2143.0,55.81
20072,10072,48,2,3977,5,72,2026-08-05,Paid,Store,Customer 72,customer72@example.com,Kochi,Kerala,2026-08-01,Standard,Product 48,Sports,Cobalt,1956.0,2445.0,7954,397.70000000000005,7556.3,3912.0,3644.3,48.23
20073,10073,5,3,4114,10,73,2026-01-10,Shipped,Web,Customer 73,customer73@example.com,Chennai,Tamil Nadu,2026-01-04,Premium,Product 5,Fashion,Evergreen,365.0,485.45,12342,1234.2,11107.8,1095.0,10012.8,90.14
20074,10074,12,4,4251,15,74,2026-02-15,Delivered,Mobile,Customer 74,customer74@example.com,Bengaluru,Karnataka,2026-02-07,Corporate,Product 12,Home,BluePeak,624.0,780.0,17004,2550.6,14453.4,2496.0,11957.4,82.73
20076,10076,26,1,4525,0,76,2026-04-25,Placed,Web,Customer 76,customer76@example.com,Mumbai,Maharashtra,2026-04-13,Premium,Product 26,Electronics,Aster,1142.0,1610.22,4525,0.0,4525.0,1142.0,3383.0,74.76
20077,10077,33,2,4662,5,77,2026-05-03,Paid,Mobile,Customer 77,customer77@example.com,Pune,Maharashtra,2026-05-16,Corporate,Product 33,Sports,Cobalt,1401.0,1863.33,9324,466.20000000000005,8857.8,2802.0,6055.799999999999,68.37
20078,10078,40,3,4799,10,78,2026-06-08,Shipped,Store,Customer 78,customer78@example.com,Kochi,Kerala,2026-06-19,Standard,Product 40,Fashion,Evergreen,1660.0,2075.0,14397,1439.7,12957.3,4980.0,7977.299999999999,61.57
20079,10079,47,4,4936,15,79,2026-07-13,Delivered,Web,Customer 79,customer79@example.com,Chennai,Tamil Nadu,2026-07-22,Premium,Product 47,Home,BluePeak,1919.0,2859.31,19744,2961.6,16782.4,7676.0,9106.400000000001,54.26
20081,10081,11,1,5210,0,81,2026-01-23,Placed,Store,Customer 81,customer81@example.com,Hyderabad,Telangana,2026-01-01,Standard,Product 11,Electronics,Aster,587.0,874.63,5210,0.0,5210.0,587.0,4623.0,88.73
20082,10082,18,2,5347,5,82,2026-02-01,Paid,Web,Customer 82,customer82@example.com,Mumbai,Maharashtra,2026-02-04,Premium,Product 18,Sports,Cobalt,846.0,1192.86,10694,534.7,10159.3,1692.0,8467.3,83.35
20083,10083,25,3,5484,10,83,2026-03-06,Shipped,Mobile,Customer 83,customer83@example.com,Pune,Maharashtra,2026-03-07,Corporate,Product 25,Fashion,Evergreen,1105.0,1469.65,16452,1645.2,14806.8,3315.0,11491.8,77.61
20084,10084,32,4,5621,15,84,2026-04-11,Delivered,Store,Customer 84,customer84@example.com,Kochi,Kerala,2026-04-10,Standard,Product 32,Home,BluePeak,1364.0,1705.0,22484,3372.6,19111.4,5456.0,13655.400000000001,71.45
20086,10086,46,1,5895,0,86,2026-06-21,Placed,Mobile,Customer 86,customer86@example.com,Bengaluru,Karnataka,2026-06-16,Corporate,Product 46,Electronics,Aster,1882.0,2653.62,5895,0.0,5895.0,1882.0,4013.0,68.07
20087,10087,3,2,6032,5,87,2026-07-26,Paid,Store,Customer 87,customer87@example.com,Hyderabad,Telangana,2026-07-19,Standard,Product 3,Sports,Cobalt,291.0,433.59,12064,603.2,11460.8,582.0,10878.8,94.92
20088,10088,10,3,6169,10,88,2026-08-04,Shipped,Web,Customer 88,customer88@example.com,Mumbai,Maharashtra,2026-08-22,Premium,Product 10,Fashion,Evergreen,550.0,775.5,18507,1850.7,16656.3,1650.0,15006.3,90.09
20089,10089,17,4,6306,15,89,2026-01-09,Delivered,Mobile,Customer 89,customer89@example.com,Pune,Maharashtra,2026-01-25,Corporate,Product 17,Home,BluePeak,809.0,1075.97,25224,3783.6,21440.4,3236.0,18204.4,84.91
20091,10091,31,1,6580,0,91,2026-03-19,Placed,Web,Customer 91,customer91@example.com,Chennai,Tamil Nadu,2026-03-04,Premium,Product 31,Electronics,Aster,1327.0,1977.23,6580,0.0,6580.0,1327.0,5253.0,79.83
20092,10092,38,2,517,5,92,2026-04-24,Paid,Mobile,Customer 92,customer92@example.com,Bengaluru,Karnataka,2026-04-07,Corporate,Product 38,Sports,Cobalt,1586.0,2236.26,1034,51.7,982.3,3172.0,-2189.7,-222.92
20093,10093,45,3,654,10,93,2026-05-02,Shipped,Store,Customer 93,customer93@example.com,Hyderabad,Telangana,2026-05-10,Standard,Product 45,Fashion,Evergreen,1845.0,2453.85,1962,196.20000000000002,1765.8,5535.0,-3769.2,-213.46
20094,10094,2,4,791,15,94,2026-06-07,Delivered,Web,Customer 94,customer94@example.com,Mumbai,Maharashtra,2026-06-13,Premium,Product 2,Home,BluePeak,254.0,358.14,3164,474.59999999999997,2689.4,1016.0,1673.4,62.22
20096,10096,16,1,1065,0,96,2026-08-17,Placed,Store,Customer 96,customer96@example.com,Kochi,Kerala,2026-08-19,Standard,Product 16,Electronics,Aster,772.0,965.0,1065,0.0,1065.0,772.0,293.0,27.51
20097,10097,23,2,1202,5,97,2026-01-22,Paid,Web,Customer 97,customer97@example.com,Chennai,Tamil Nadu,2026-01-22,Premium,Product 23,Sports,Cobalt,1031.0,1536.19,2404,120.2,2283.8,2062.0,221.80000000000018,9.71
20098,10098,30,3,1339,10,98,2026-02-27,Shipped,Mobile,Customer 98,customer98@example.com,Bengaluru,Karnataka,2026-02-25,Corporate,Product 30,Fashion,Evergreen,1290.0,1818.9,4017,401.70000000000005,3615.3,3870.0,-254.69999999999982,-7.05
20099,10099,37,4,1476,15,99,2026-03-05,Delivered,Store,Customer 99,customer99@example.com,Hyderabad,Telangana,2026-03-01,Standard,Product 37,Home,BluePeak,1549.0,2060.17,5904,885.6,5018.4,6196.0,-1177.6000000000004,-23.47
20101,10101,1,1,1750,0,1,2026-05-15,Placed,Mobile,Customer 1,customer1@example.com,Chennai,Tamil Nadu,2026-01-04,Premium,Product 1,Electronics,Aster,217.0,288.61,1750,0.0,1750.0,217.0,1533.0,87.6
20102,10102,8,2,1887,5,2,2026-06-20,Paid,Store,Customer 2,customer2@example.com,Bengaluru,Karnataka,2026-02-07,Corporate,Product 8,Sports,Cobalt,476.0,595.0,3774,188.70000000000002,3585.3,952.0,2633.3,73.45
20103,10103,15,3,2024,10,3,2026-07-25,Shipped,Web,Customer 3,customer3@example.com,Hyderabad,Telangana,2026-03-10,Standard,Product 15,Fashion,Evergreen,735.0,1095.15,6072,607.2,5464.8,2205.0,3259.8,59.65
20104,10104,22,4,2161,15,4,2026-08-03,Delivered,Mobile,Customer 4,customer4@example.com,Mumbai,Maharashtra,2026-04-13,Premium,Product 22,Home,BluePeak,994.0,1401.54,8644,1296.6,7347.4,3976.0,3371.3999999999996,45.89
20106,10106,36,1,2435,0,6,2026-02-13,Placed,Web,Customer 6,customer6@example.com,Kochi,Kerala,2026-06-19,Standard,Product 36,Electronics,Aster,1512.0,1890.0,2435,0.0,2435.0,1512.0,923.0,37.91
20107,10107,43,2,2572,5,7,2026-03-18,Paid,Mobile,Customer 7,customer7@example.com,Chennai,Tamil Nadu,2026-07-22,Premium,Product 43,Sports,Cobalt,1771.0,2638.79,5144,257.2,4886.8,3542.0,1344.8000000000002,27.52
20108,10108,50,3,2709,10,8,2026-04-23,Shipped,Store,Customer 8,customer8@example.com,Bengaluru,Karnataka,2026-08-25,Corporate,Product 50,Fashion,Evergreen,2030.0,2862.3,8127,812.7,7314.3,6090.0,1224.3000000000002,16.74
20109,10109,7,4,2846,15,9,2026-05-01,Delivered,Web,Customer 9,customer9@example.com,Hyderabad,Telangana,2026-01-01,Standard,Product 7,Home,BluePeak,439.0,654.11,11384,1707.6,9676.4,1756.0,7920.4,81.85
20111,10111,21,1,3120,0,11,2026-07-11,Placed,Store,Customer 11,customer11@example.com,Pune,Maharashtra,2026-03-07,Corporate,Product 21,Electronics,Aster,957.0,1272.81,3120,0.0,3120.0,957.0,2163.0,69.33
20112,10112,28,2,3257,5,12,2026-08-16,Paid,Web,Customer 12,customer12@example.com,Kochi,Kerala,2026-04-10,Standard,Product 28,Sports,Cobalt,1216.0,1520.0,6514,325.70000000000005,6188.3,2432.0,3756.3,60.7
20113,10113,35,3,3394,10,13,2026-01-21,Shipped,Mobile,Customer 13,customer13@example.com,Chennai,Tamil Nadu,2026-05-13,Premium,Product 35,Fashion,Evergreen,1475.0,2197.75,10182,1018.2,9163.8,4425.0,4738.799999999999,51.71
20114,10114,42,4,3531,15,14,2026-02-26,Delivered,Store,Customer 14,customer14@example.com,Bengaluru,Karnataka,2026-06-16,Corporate,Product 42,Home,BluePeak,1734.0,2444.94,14124,2118.6,12005.4,6936.0,5069.4,42.23
20116,10116,6,1,3805,0,16,2026-04-09,Placed,Mobile,Customer 16,customer16@example.com,Mumbai,Maharashtra,2026-08-22,Premium,Product 6,Electronics,Aster,402.0,566.82,3805,0.0,3805.0,402.0,3403.0,89.43
20117,10117,13,2,3942,5,17,2026-05-14,Paid,Store,Customer 17,customer17@example.com,Pune,Maharashtra,2026-01-25,Corporate,Product 13,Sports,Cobalt,661.0,879.13,7884,394.20000000000005,7489.8,1322.0,6167.8,82.35
20118,10118,20,3,4079,10,18,2026-06-19,Shipped,Web,Customer 18,customer18@example.com,Kochi,Kerala,2026-02-01,Standard,Product 20,Fashion,Evergreen,920.0,1150.0,12237,1223.7,11013.3,2760.0,8253.3,74.94
20119,10119,27,4,4216,15,19,2026-07-24,Delivered,Mobile,Customer 19,customer19@example.com,Chennai,Tamil Nadu,2026-03-04,Premium,Product 27,Home,BluePeak,1179.0,1756.71,16864,2529.6,14334.4,4716.0,9618.4,67.1
20121,10121,41,1,4490,0,21,2026-01-07,Placed,Web,Customer 21,customer21@example.com,Hyderabad,Telangana,2026-05-10,Standard,Product 41,Electronics,Aster,1697.0,2257.01,4490,0.0,4490.0,1697.0,2793.0,62.2
20122,10122,48,2,4627,5,22,2026-02-12,Paid,Mobile,Customer 22,customer22@example.com,Mumbai,Maharashtra,2026-06-13,Premium,Product 48,Sports,Cobalt,1956.0,2445.0,9254,462.70000000000005,8791.3,3912.0,4879.299999999999,55.5
20123,10123,5,3,4764,10,23,2026-03-17,Shipped,Store,Customer 23,customer23@example.com,Pune,Maharashtra,2026-07-16,Corporate,Product 5,Fashion,Evergreen,365.0,485.45,14292,1429.2,12862.8,1095.0,11767.8,91.49
20124,10124,12,4,4901,15,24,2026-04-22,Delivered,Web,Customer 24,customer24@example.com,Kochi,Kerala,2026-08-19,Standard,Product 12,Home,BluePeak,624.0,780.0,19604,2940.6,16663.4,2496.0,14167.400000000001,85.02
20126,10126,26,1,5175,0,26,2026-06-05,Placed,Store,Customer 26,customer26@example.com,Bengaluru,Karnataka,2026-02-25,Corporate,Product 26,Electronics,Aster,1142.0,1610.22,5175,0.0,5175.0,1142.0,4033.0,77.93
20127,10127,33,2,5312,5,27,2026-07-10,Paid,Web,Customer 27,customer27@example.com,Hyderabad,Telangana,2026-03-01,Standard,Product 33,Sports,Cobalt,1401.0,1863.33,10624,531.2,10092.8,2802.0,7290.799999999999,72.24
20128,10128,40,3,5449,10,28,2026-08-15,Shipped,Mobile,Customer 28,customer28@example.com,Mumbai,Maharashtra,2026-04-04,Premium,Product 40,Fashion,Evergreen,1660.0,2075.0,16347,1634.7,14712.3,4980.0,9732.3,66.15
20129,10129,47,4,5586,15,29,2026-01-20,Delivered,Store,Customer 29,customer29@example.com,Pune,Maharashtra,2026-05-07,Corporate,Product 47,Home,BluePeak,1919.0,2859.31,22344,3351.6,18992.4,7676.0,11316.400000000001,59.58
20131,10131,11,1,5860,0,31,2026-03-03,Placed,Mobile,Customer 31,customer31@example.com,Chennai,Tamil Nadu,2026-07-13,Premium,Product 11,Electronics,Aster,587.0,874.63,5860,0.0,5860.0,587.0,5273.0,89.98
20132,10132,18,2,5997,5,32,2026-04-08,Paid,Store,Customer 32,customer32@example.com,Bengaluru,Karnataka,2026-08-16,Corporate,Product 18,Sports,Cobalt,846.0,1192.86,11994,599.7,11394.3,1692.0,9702.3,85.15
20133,10133,25,3,6134,10,33,2026-05-13,Shipped,Web,Customer 33,customer33@example.com,Hyderabad,Telangana,2026-01-19,Standard,Product 25,Fashion,Evergreen,1105.0,1469.65,18402,1840.2,16561.8,3315.0,13246.8,79.98
20134,10134,32,4,6271,15,34,2026-06-18,Delivered,Mobile,Customer 34,customer34@example.com,Mumbai,Maharashtra,2026-02-22,Premium,Product 32,Home,BluePeak,1364.0,1705.0,25084,3762.6,21321.4,5456.0,15865.400000000001,74.41
20136,10136,46,1,6545,0,36,2026-08-01,Placed,Web,Customer 36,customer36@example.com,Kochi,Kerala,2026-04-01,Standard,Product 46,Electronics,Aster,1882.0,2653.62,6545,0.0,6545.0,1882.0,4663.0,71.25
20137,10137,3,2,482,5,37,2026-01-06,Paid,Mobile,Customer 37,customer37@example.com,Chennai,Tamil Nadu,2026-05-04,Premium,Product 3,Sports,Cobalt,291.0,433.59,964,48.2,915.8,582.0,333.79999999999995,36.45
20138,10138,10,3,619,10,38,2026-02-11,Shipped,Store,Customer 38,customer38@example.com,Bengaluru,Karnataka,2026-06-07,Corporate,Product 10,Fashion,Evergreen,550.0,775.5,1857,185.70000000000002,1671.3,1650.0,21.299999999999955,1.27
20139,10139,17,4,756,15,39,2026-03-16,Delivered,Web,Customer 39,customer39@example.com,Hyderabad,Telangana,2026-07-10,Standard,Product 17,Home,BluePeak,809.0,1075.97,3024,453.59999999999997,2570.4,3236.0,-665.5999999999999,-25.89
20141,10141,31,1,1030,0,41,2026-05-26,Placed,Store,Customer 41,customer41@example.com,Pune,Maharashtra,2026-01-16,Corporate,Product 31,Electronics,Aster,1327.0,1977.23,1030,0.0,1030.0,1327.0,-297.0,-28.83
